,OFFER_PRICE,MATERIAL_COST,SERVICE_COST,COST_PRODUCT,ISIC,TECH_BP,TECH_C,TECH_E,TECH_EPS,TECH_F,TECH_FP,TECH_S,OFFER_STATUS
54,9186.7,4551.0,1519.34,22.5,8610.0,0,0,0,0,1,0,0,1
55,11956.0,6027.0,732.67,0.0,6020.0,0,0,0,0,1,0,0,1
56,12656.0,615.0,2871.6,0.0,8299.0,0,0,0,0,1,0,0,1
58,9135.0,2829.0,4164.26,3615.41,8730.0,0,0,0,0,1,0,0,1
59,24996.6,3075.0,15351.71,0.0,6920.0,0,0,0,0,0,0,1,0
60,7879.0,3321.0,2033.37,1755.3,8299.0,0,0,0,0,0,0,1,1
61,11000.0,3567.0,6248.37,2349.86,8610.0,0,0,0,0,1,0,0,1
62,34405.25,16728.0,10117.0,0.0,5510.0,0,0,0,0,1,0,0,1
63,4861.0,1476.0,2085.77,0.0,4321.0,0,0,0,0,1,0,0,1
64,1505.0,1107.0,0.0,0.0,4690.0,0,0,0,0,0,0,1,1
65,3052.35,714.0,1355.79,0.0,4322.0,0,1,0,0,0,0,0,0
66,11819.2,4080.0,3042.11,0.0,1101.0,0,1,0,0,0,0,0,0
67,4446.0,1845.0,826.1,0.0,6512.0,0,0,0,0,1,0,0,0
68,1400.0,816.0,0.0,0.0,5275.093193332244,0,1,0,0,0,0,0,1
69,1647.0,861.0,70.99,0.0,4719.0,0,0,0,0,1,0,0,1
70,1935.0,984.0,2.0,0.0,8299.0,0,0,0,0,1,0,0,1
71,2555.0,1754.0,0.0,0.0,6411.0,0,0,0,0,1,0,0,1
72,10292.5,4551.0,2660.62,1181.72,6530.0,0,0,0,0,0,0,1,1
74,1087.8,0.0,487.82,0.0,4322.0,0,1,0,0,0,0,0,0
75,9400.0,2460.0,3442.37,781.38,8690.0,0,0,0,0,1,0,0,1
77,30146.4,11808.0,16972.46,16782.1,4761.0,0,0,0,0,1,0,0,1
78,3570.0,1968.0,230.42,0.0,4649.0,0,0,0,0,0,0,1,1
79,1400.0,246.0,695.0,0.0,4661.0,0,0,0,0,0,0,1,1
80,5640.0,861.0,1395.88,0.0,6820.0,0,0,0,0,1,0,0,1
81,3220.2,714.0,694.24,0.0,4322.0,0,1,0,0,0,0,0,0
82,2710.75,1107.0,425.74,0.0,1079.0,0,0,0,0,1,0,0,1
83,9834.4,2706.0,3970.85,0.0,5275.093193332244,0,0,0,0,0,0,1,0
84,2999.6,1107.0,802.29,0.0,7020.0,0,0,0,0,0,0,1,1
85,7025.0,3444.0,245.32,0.0,8430.0,0,0,0,0,1,0,0,1
86,20000.0,7446.0,8591.0,0.0,4923.0,0,1,0,0,0,0,0,1
87,2181.0,1107.0,129.8,0.0,6419.0,0,0,0,0,0,0,1,1
88,2030.1,0.0,688.89,0.0,7110.0,1,0,0,0,0,0,0,0
91,11464.0,8886.0,1.0,4950.0,4719.0,0,0,0,0,1,0,0,1
92,10553.0,2583.0,3875.42,2196.82,6820.0,0,0,0,0,1,0,0,0
93,50744.0,10506.0,3747.44,0.0,2816.0,0,1,0,0,0,0,0,1
94,1660.4,984.0,109.79,0.0,520.0,0,0,0,0,1,0,0,1
95,20955.35,0.0,22586.17,0.0,2790.0,1,0,0,0,0,0,0,0
96,2495.0,1599.0,80.0,0.0,8422.0,0,0,0,0,0,0,1,1
97,14351.95,9717.0,12893.51,6577.44,9499.0,0,0,0,0,1,0,0,1
99,40775.0,6396.0,19862.65,0.0,8730.0,0,0,0,0,1,0,0,1
100,5228.6,984.0,2664.49,0.0,9700.0,0,0,0,0,0,0,1,0
101,1225.0,861.0,0.0,0.0,5275.093193332244,0,0,0,0,1,0,0,1
103,8670.0,2829.0,3326.43,0.0,3020.0,0,0,0,0,0,0,1,1
104,45000.0,11193.0,29515.09,10259.99,5221.0,0,0,0,0,1,0,0,1
105,1818.0,861.0,368.62,368.62,2011.0,0,0,0,0,1,0,0,1
106,2127.2,357.0,432.21,0.0,9700.0,0,1,0,0,0,0,0,1
107,1886.0,752.0,450.0,0.0,8610.0,0,1,0,0,0,0,0,1
108,27352.95,3936.0,16847.55,0.0,8422.0,0,0,0,0,0,0,1,1
109,7530.0,1107.0,3727.5,0.0,5221.0,0,0,0,0,0,0,1,1
110,7030.0,2952.0,1915.87,1398.19,5275.093193332244,0,0,0,0,0,0,1,1
111,3818.0,738.0,2394.9,0.0,4321.0,0,0,0,0,1,0,0,0
112,1570.0,1020.0,0.0,0.0,8530.0,0,1,0,0,0,0,0,1
113,1505.0,1230.0,0.0,0.0,4690.0,0,0,0,0,1,0,0,1
115,1248.35,0.0,577.13,0.0,5275.093193332244,0,1,0,0,0,0,0,1
116,20139.35,4386.0,7151.0,0.0,4322.0,0,1,0,0,0,0,0,0
117,1173.0,738.0,73.94,0.0,4321.0,0,0,0,0,1,0,0,1
118,4807.6,1722.0,2243.56,2082.94,2652.0,0,0,0,0,1,0,0,1
119,45320.15,14268.0,28450.69,15805.22,1079.0,0,0,0,0,1,0,0,1
120,6160.0,0.0,4000.0,0.0,6810.0,0,1,0,0,0,0,0,1
121,22209.0,9786.0,7848.88,7155.59,8610.0,0,0,0,0,1,0,0,1
122,6184.0,2091.0,1345.93,393.47,6419.0,0,0,0,0,1,0,0,1
123,14130.0,6396.0,3228.45,3003.45,6820.0,0,0,0,0,0,0,1,1
124,15691.75,6396.0,7864.68,6411.93,8510.0,0,0,0,0,1,0,0,1
125,4369.0,2460.0,387.0,387.0,8411.0,0,0,0,0,0,0,1,1
127,12995.0,6765.0,2236.5,0.0,4100.0,0,0,0,0,0,0,1,1
128,1992.0,1476.0,0.0,0.0,3510.0,0,0,0,0,1,0,0,1
129,10059.3,1912.5,4608.67,0.0,4322.0,0,1,0,0,0,0,0,1
130,14670.0,5940.0,4280.61,0.0,5221.0,0,0,0,0,1,0,0,0
131,1565.0,1107.0,70.99,0.0,4321.0,0,0,0,0,1,0,0,1
132,10781.55,4551.0,3022.3,2594.4,2652.0,0,0,0,0,1,0,0,0
133,9325.0,5640.0,0.0,0.0,6810.0,0,1,0,0,0,0,0,1
134,3815.0,2091.0,109.52,0.0,3320.0,0,0,0,0,1,0,0,0
135,18892.0,15508.85,549.08,12433.85,8610.0,0,0,0,0,1,0,0,1
136,5541.5,2460.0,1778.74,0.0,7110.0,0,0,0,0,1,0,0,0
137,1385.0,510.0,400.0,0.0,7210.0,0,1,0,0,0,0,0,0
139,1223.0,861.0,15.59,15.59,5275.093193332244,0,0,0,0,1,0,0,1
143,1670.0,861.0,0.0,0.0,7730.0,0,0,0,0,0,0,1,0
144,53118.0,26322.0,20251.62,2143.2,7020.0,0,0,0,0,1,0,0,1
145,30570.55,18696.0,5354.61,2073.36,8299.0,0,0,0,0,0,0,1,0
147,22151.15,6642.0,9765.08,0.0,3821.0,0,0,0,0,0,0,1,1
148,1342.0,861.0,62.81,0.0,4321.0,0,0,0,0,1,0,0,0
149,11025.0,4305.0,3160.35,2807.55,5275.093193332244,0,0,0,0,0,0,1,1
150,4139.2,1845.0,1034.75,0.0,2220.0,0,0,0,0,1,0,0,1
151,9736.9,1734.0,3935.99,0.0,7110.0,0,1,0,0,0,0,0,1
152,18381.0,123.0,3751.58,0.0,9329.0,0,0,0,0,1,0,0,0
153,4558.0,2706.0,314.8,0.0,4329.0,0,0,0,0,0,0,1,1
154,1364.0,738.0,96.33,96.33,4390.0,0,0,0,0,0,0,1,0
155,3286.6,2091.0,112.52,0.0,7490.0,0,0,0,0,1,0,0,1
156,1436.5,1230.0,0.0,0.0,2640.0,0,0,0,0,0,0,1,1
157,12800.0,3060.0,5881.85,0.0,4322.0,0,1,0,0,0,0,0,1
158,2448.0,1230.0,119.36,0.0,6419.0,0,0,0,0,1,0,0,1
159,23765.1,4692.0,10700.69,0.0,5275.093193332244,0,1,0,0,0,0,0,0
160,40009.5,12150.0,17390.64,0.0,4322.0,0,0,0,0,1,0,0,1
161,1295.0,408.0,303.55,0.0,7110.0,0,1,0,0,0,0,0,1
162,22020.0,0.0,14996.0,0.0,4330.0,0,1,0,0,0,0,0,0
163,11400.0,3813.0,3742.64,781.38,2100.0,0,0,0,0,1,0,0,1
164,3951.0,615.0,2064.28,0.0,9102.0,0,0,0,0,0,0,1,1
166,3675.0,459.0,2063.0,0.0,8610.0,0,1,0,0,0,0,0,1
167,4178.25,1968.0,1623.12,0.0,1410.0,0,0,0,0,1,0,0,1
168,11920.7,5100.0,1599.98,0.0,5510.0,0,1,0,0,0,0,0,1
169,7640.8,3444.0,874.01,200.28,5275.093193332244,0,0,0,0,1,0,0,1
170,18000.0,3936.0,10189.24,0.0,6820.0,0,0,0,0,0,0,1,0
171,2199.8,1107.0,284.97,0.0,6311.0,0,0,0,0,1,0,0,1
172,42304.85,14145.0,23238.37,18122.379999999997,2220.0,0,0,0,0,1,0,0,1
173,1926.1,1107.0,332.87,0.0,9609.0,0,0,0,0,0,0,1,1
174,36269.8,8487.0,33372.18,33372.18,6430.0,0,0,0,0,1,0,0,1
175,1995.2,1353.0,0.0,0.0,2652.0,0,0,0,0,0,0,1,1
176,5548.1,1836.0,1449.11,0.0,2710.0,0,1,0,0,0,0,0,1
177,8396.0,6476.0,0.0,2540.0,3520.0,0,0,0,0,1,0,0,1
179,39489.4,25126.0,16628.93,15201.230000000001,2029.0,0,0,0,0,1,0,0,1
180,9453.3,2706.0,3437.61,781.48,6820.0,0,0,0,0,1,0,0,0
182,3558.1,1020.0,966.21,0.0,4322.0,0,1,0,0,0,0,0,0
183,2455.0,738.0,0.0,0.0,5275.093193332244,0,0,0,0,1,0,0,1
185,1975.0,0.0,450.5,0.0,5275.093193332244,0,0,0,0,1,0,0,1
186,23675.7,4692.0,10700.69,0.0,5275.093193332244,0,1,0,0,0,0,0,0
187,2281.85,816.0,506.01,0.0,4321.0,0,1,0,0,0,0,0,1
188,7104.6,2091.0,5047.3,0.0,4321.0,0,0,0,0,1,0,0,0
189,1396.5,1107.0,0.0,0.0,8411.0,0,0,0,0,1,0,0,1
191,6975.1,2952.0,1478.73,781.38,5275.093193332244,0,0,0,0,1,0,0,1
192,1464.0,1107.0,1.0,0.0,5275.093193332244,0,0,0,0,1,0,0,1
193,1670.0,984.0,110.52,0.0,7490.0,0,0,0,0,1,0,0,1
194,3346.0,1230.0,742.89,54.89,6619.0,0,0,0,0,0,0,1,0
195,2698.0,1599.0,409.0,409.0,8411.0,0,0,0,0,1,0,0,0
196,2197.5,861.0,450.23,0.0,4711.0,0,0,0,0,1,0,0,1
197,4097.0,1476.0,866.04,0.0,2100.0,0,0,0,0,1,0,0,1
199,9126.0,6642.0,0.0,0.0,6419.0,0,0,0,0,0,0,1,1
200,9384.5,2460.0,3821.99,0.0,6419.0,0,0,0,0,0,0,1,0
201,31497.9,11070.0,12081.29,0.0,8411.0,0,0,0,0,0,0,1,1
202,2529.75,1353.0,194.98,0.0,5275.093193332244,0,0,0,0,1,0,0,1
203,26596.9,17712.0,1038.45,495.85,8299.0,0,0,0,0,1,0,0,1
204,5226.0,1581.0,1220.97,0.0,8412.0,0,1,0,0,0,0,0,0
205,4729.0,2730.0,437.16,0.0,8610.0,0,0,0,0,1,0,0,1
206,3983.0,2091.0,712.56,0.0,8710.0,0,0,0,0,1,0,0,1
207,1642.0,615.0,393.21,0.0,9499.0,0,0,0,0,1,0,0,1
208,9500.0,4920.0,1884.67,0.0,6020.0,0,0,0,0,0,0,1,1
209,2792.5,1230.0,832.87,0.0,6419.0,0,0,0,0,0,0,1,1
211,4950.0,1428.0,1366.0,0.0,6530.0,0,1,0,0,0,0,0,1
213,1155.0,861.0,0.0,0.0,6391.0,0,0,0,0,1,0,0,1
214,1380.0,861.0,108.52,12.39,2652.0,0,0,0,0,1,0,0,0
215,15000.0,9348.0,1243.7,0.0,5223.0,0,0,0,0,1,0,0,1
216,11554.15,2346.0,5057.49,0.0,4322.0,0,1,0,0,0,0,0,0
217,1496.25,1107.0,0.0,0.0,9102.0,0,0,0,0,1,0,0,1
218,5006.5,1968.0,1363.47,0.0,5275.093193332244,0,0,0,0,0,0,1,0
219,22867.15,6150.0,12441.35,0.0,2816.0,0,0,0,0,0,0,1,0
220,19232.75,15645.0,331.59,13800.0,5275.093193332244,0,0,0,0,1,0,0,1
221,1976.0,1230.0,0.0,0.0,7110.0,0,0,0,0,0,0,1,1
222,9999.2,2958.0,2875.09,0.0,6820.0,0,1,0,0,0,0,0,0
224,2760.0,984.0,1131.56,0.0,3700.0,0,0,0,0,1,0,0,1
225,4717.45,1999.0,1249.5,400.0,4321.0,0,0,0,0,0,0,1,1
226,2499.05,1107.0,304.43,0.1,8710.0,0,0,0,0,1,0,0,1
228,3331.0,1845.0,375.61,362.96,8610.0,0,0,0,0,0,0,1,1
230,4681.95,1722.0,929.46,12.25,4321.0,0,0,0,0,1,0,0,1
231,4645.0,2583.0,589.58,0.0,6419.0,0,0,0,0,1,0,0,1
232,2060.45,0.0,915.1,0.0,4322.0,0,1,0,0,0,0,0,1
233,2450.0,1722.0,0.0,0.0,8730.0,0,0,0,0,1,0,0,1
234,8630.0,2706.0,3602.0,0.0,2100.0,0,0,0,0,0,0,1,1
235,1650.0,1230.0,0.0,0.0,5275.093193332244,0,0,0,0,0,0,1,1
236,14736.2,3936.0,7068.21,0.0,7110.0,0,0,0,0,0,0,1,1
237,4745.75,1530.0,1391.34,0.0,8129.0,0,1,0,0,0,0,0,0
238,4977.0,1599.0,1118.93,368.69,8413.0,0,0,0,0,1,0,0,1
239,6964.0,2214.0,3272.62,0.0,6419.0,0,0,0,0,0,0,1,1
240,15484.95,4920.0,6683.63,0.0,6419.0,0,0,0,0,0,0,1,0
241,6832.0,1476.0,3036.56,0.0,6419.0,0,0,0,0,0,0,1,0
242,20304.0,5781.0,6960.9,737.38,8411.0,0,0,0,0,1,0,0,1
243,1711.9,738.0,396.92,0.0,9329.0,0,0,0,0,0,0,1,1
244,6964.0,2214.0,3275.62,0.0,6419.0,0,0,0,0,0,0,1,1
246,26980.0,13419.0,6283.87,6985.07,6419.0,0,0,0,0,0,0,1,1
247,1950.0,0.0,1170.0,0.0,6419.0,0,0,0,0,0,0,1,0
249,16027.3,10209.0,1735.65,0.0,6419.0,0,0,0,0,1,0,0,0
250,1302.0,984.0,0.0,0.0,1399.0,0,0,0,0,1,0,0,1
251,1531.0,984.0,314.76,165.0,8411.0,0,0,0,0,1,0,0,1
252,22020.0,7380.0,5536.12,368.69,9499.0,0,0,0,0,1,0,0,0
253,1518.1,612.0,460.0,0.0,7020.0,0,1,0,0,0,0,0,1
254,1648.75,1123.0,88.88,0.0,2652.0,0,0,0,0,1,0,0,1
255,11089.0,2829.0,4839.7,0.0,6419.0,0,0,0,0,0,0,1,1
256,2773.1,984.0,591.51,0.0,8411.0,0,0,0,0,1,0,0,1
257,10199.1,6642.0,722.63,0.0,5275.093193332244,0,0,0,0,1,0,0,1
258,9989.15,1048.56,5405.3,0.0,4322.0,0,1,0,0,0,0,0,1
259,7530.0,3510.0,2069.56,0.0,4922.0,0,0,0,0,1,0,0,1
260,25106.0,0.0,15578.12,0.0,910.0,0,0,0,0,0,0,1,0
262,4308.0,2706.0,371.78,0.0,9499.0,0,0,0,0,1,0,0,1
263,4530.0,1968.0,700.27,0.0,9329.0,0,0,0,0,1,0,0,1
264,1956.0,738.0,584.71,0.0,6311.0,0,0,0,0,0,0,1,1
265,32877.95,27552.0,0.0,0.0,9499.0,0,0,0,0,0,0,1,1
267,1245.0,615.0,178.0,0.0,3250.0,0,0,0,0,0,0,1,1
268,12929.0,4059.0,3033.59,0.0,4390.0,0,0,0,0,1,0,0,1
269,12000.0,8160.0,0.0,0.0,6820.0,0,1,0,0,0,0,0,0
270,4200.0,2514.5,0.0,0.0,8411.0,0,1,0,0,0,0,0,1
271,4195.0,1845.0,594.34,109.78,5275.093193332244,0,0,0,0,0,0,1,0
272,1364.0,615.0,153.3,72.14,4329.0,0,0,0,0,0,0,1,1
273,14256.25,5166.0,5518.69,0.0,4321.0,0,0,0,0,0,0,1,0
274,2230.0,738.0,617.28,0.0,4661.0,0,0,0,0,0,0,1,1
275,8059.5,4305.0,2159.11,0.0,2710.0,0,0,0,0,1,0,0,0
276,12560.0,8160.0,0.0,0.0,5223.0,0,1,0,0,0,0,0,0
277,2325.0,1230.0,333.25,0.0,6820.0,0,0,0,0,1,0,0,1
278,13535.0,1599.0,4967.44,0.0,4711.0,0,0,0,0,1,0,0,0
279,6422.0,4080.0,0.0,0.0,6492.0,0,0,0,0,0,0,1,1
280,1966.5,861.0,570.56,0.0,8690.0,0,0,0,0,1,0,0,1
281,3496.5,1230.0,1223.86,0.0,8690.0,0,0,0,0,1,0,0,1
282,3073.0,1224.0,533.85,0.0,7020.0,0,1,0,0,0,0,0,1
283,7979.1,2706.0,2643.3,252.96,8422.0,0,0,0,0,0,0,1,1
284,2392.1,1353.0,231.24,0.0,8110.0,0,0,0,0,1,0,0,1
285,14471.5,4182.0,4744.95,368.69,5610.0,0,0,0,0,1,0,0,1
286,1488.0,984.0,92.75,0.0,6920.0,0,0,0,0,1,0,0,1
287,2186.0,270.0,1084.52,0.0,5275.093193332244,0,0,0,0,0,0,1,1
288,2637.0,1722.0,220.65,0.0,4321.0,0,0,0,0,1,0,0,1
289,4020.2,2214.0,530.28,0.0,2652.0,0,0,0,0,1,0,0,1
290,26464.0,15503.0,2447.19,368.69,3830.0,0,0,0,0,1,0,0,1
291,4595.0,2607.0,0.0,1500.0,4661.0,0,0,0,0,1,0,0,1
292,18908.7,5412.0,10583.52,7904.08,8710.0,0,0,0,0,1,0,0,1
293,9923.0,2337.0,8876.79,0.0,6820.0,0,0,0,0,1,0,0,1
294,9338.3,2952.0,3692.12,0.0,4663.0,0,0,0,0,0,0,1,0
295,54082.6,10824.0,32449.3,0.0,4390.0,0,0,0,0,0,0,1,0
296,25798.5,7257.0,12706.57,0.0,3510.0,0,0,0,0,1,0,0,1
297,1651.0,158.1,472.52,0.0,4321.0,0,1,0,0,0,0,0,0
298,18435.1,6396.0,6389.04,1220.23,7490.0,0,0,0,0,0,0,1,0
299,3804.3,1599.0,1308.52,0.0,8610.0,0,0,0,0,0,0,1,1
301,3568.0,1968.0,749.25,677.77,8411.0,0,0,0,0,1,0,0,1
302,2680.0,369.0,1469.77,0.0,2592.0,0,0,0,0,0,0,1,1
303,7708.7,2770.0,1668.56,0.0,5275.093193332244,0,0,0,0,1,0,0,1
304,2675.6,984.0,999.89,0.0,7020.0,0,0,0,0,1,0,0,1
306,6760.0,2829.0,833.22,171.22,8549.0,0,0,0,0,0,0,1,1
308,19420.0,5775.0,8700.0,2400.0,3510.0,0,0,0,0,1,0,0,1
309,1871.9,408.0,908.93,0.0,4322.0,0,1,0,0,0,0,0,1
310,6905.0,2214.0,1696.9,0.0,5275.093193332244,0,0,0,0,1,0,0,1
311,2560.25,1968.0,0.0,0.0,8411.0,0,0,0,0,1,0,0,1
312,3934.9,1722.0,660.65,0.0,4321.0,0,0,0,0,1,0,0,1
313,2722.5,861.0,870.91,0.0,6820.0,0,0,0,0,1,0,0,1
314,1340.0,738.0,55.6,0.0,8530.0,0,0,0,0,1,0,0,1
315,3454.4,1845.0,1.0,0.0,7110.0,0,0,0,0,1,0,0,1
316,3133.05,1599.0,859.92,0.0,2652.0,0,0,0,0,1,0,0,1
318,9654.0,3640.0,1990.84,0.0,4630.0,0,0,0,0,1,0,0,1
319,1957.75,492.0,940.8,0.0,5510.0,0,0,0,0,0,0,1,1
321,3400.0,1968.0,337.24,0.0,6419.0,0,0,0,0,0,0,1,1
322,2180.0,1476.0,0.0,0.0,6411.0,0,0,0,0,0,0,1,1
323,7225.0,3813.0,623.3,171.3,6420.0,0,0,0,0,0,0,1,1
324,4611.6,1968.0,1336.54,0.0,5510.0,0,0,0,0,1,0,0,0
325,3747.0,714.0,837.85,0.0,8411.0,0,1,0,0,0,0,0,1
326,5286.0,2829.0,763.76,639.31,5275.093193332244,0,0,0,0,0,0,1,1
327,6630.0,2706.0,742.43,484.27,6419.0,0,0,0,0,0,0,1,1
328,5817.6,2295.0,1113.13,0.0,4322.0,0,1,0,0,0,0,0,1
329,11466.2,4059.0,4124.14,0.0,6419.0,0,0,0,0,0,0,1,1
330,1954.0,984.0,336.92,0.0,4321.0,0,0,0,0,1,0,0,1
331,5948.3,2214.0,1831.79,0.0,6419.0,0,0,0,0,0,0,1,0
333,5900.0,3075.0,1004.23,585.11,4652.0,0,0,0,0,0,0,1,1
334,4855.0,1968.0,711.35,0.0,2100.0,0,0,0,0,1,0,0,1
336,1831.65,1334.2,120.24,227.2,4690.0,0,0,0,0,1,0,0,0
338,3670.0,0.0,3048.3,0.0,2733.0,1,0,0,0,0,0,0,0
339,1634.0,492.0,498.4,0.0,8411.0,0,0,0,0,1,0,0,1
340,3704.6,1722.0,935.98,0.0,2652.0,0,0,0,0,0,0,1,0
341,6446.35,2952.0,722.74,0.0,4321.0,0,0,0,0,1,0,0,1
343,5863.8,1107.0,2945.76,0.0,8411.0,0,0,0,0,0,0,1,1
344,1922.0,861.0,376.13,0.0,6419.0,0,0,0,0,1,0,0,1
345,17406.65,4920.0,8804.7,0.0,8730.0,0,0,0,0,0,0,1,1
346,1548.4,0.0,514.08,0.0,5275.093193332244,0,1,0,0,0,0,0,0
348,2565.0,984.0,331.0,0.0,8549.0,0,0,0,0,1,0,0,1
349,1334.5,615.0,377.02,0.0,4322.0,0,0,0,0,1,0,0,1
350,4000.0,612.0,2367.27,0.0,2813.0,0,1,0,0,0,0,0,1
351,6855.0,5043.0,0.0,0.0,2790.0,0,0,0,0,1,0,0,1
352,4558.5,2214.0,1564.51,0.0,4690.0,0,0,0,0,0,0,1,1
354,5081.0,2460.0,551.39,0.0,5275.093193332244,0,0,0,0,1,0,0,1
355,1699.0,738.0,384.9,0.0,2100.0,0,0,0,0,1,0,0,1
356,27075.65,8388.0,10788.92,1846.24,2592.0,0,0,0,0,1,0,0,1
358,12674.0,2040.0,6099.19,0.0,4322.0,0,1,0,0,0,0,0,0
359,38769.1,5904.0,15139.57,0.0,9499.0,0,0,0,0,1,0,0,1
360,2623.0,313.96,1243.0,0.0,4322.0,0,1,0,0,0,0,0,0
361,23900.0,5304.0,10670.7,0.0,4322.0,0,1,0,0,0,0,0,1
362,6523.0,3444.0,1002.24,0.0,0.0,0,0,0,0,0,0,1,1
363,5382.0,2615.0,459.68,0.0,8299.0,0,0,0,0,1,0,0,1
364,50441.7,20418.0,42526.84,8694.6,5275.093193332244,0,0,0,0,1,0,0,0
365,20351.95,2337.0,6172.87,0.0,5275.093193332244,0,0,0,0,1,0,0,1
366,28887.0,11745.0,9082.38,0.0,3510.0,0,0,0,0,1,0,0,0
367,2440.0,1599.0,1.0,0.0,8413.0,0,0,0,0,0,0,1,1
368,3924.0,2214.0,219.33,219.33,6419.0,0,0,0,0,0,0,1,1
369,6900.0,3444.0,710.6,0.0,8422.0,0,0,0,0,0,0,1,0
370,3203.95,408.0,1306.53,0.0,4322.0,0,1,0,0,0,0,0,0
371,5200.0,2142.0,1100.0,0.0,2011.0,1,0,0,0,0,0,0,1
372,4786.2,2706.0,460.4,460.4,2652.0,0,0,0,0,0,0,1,1
373,13594.0,4305.0,5515.61,0.0,8230.0,0,0,0,0,0,0,1,0
374,3691.0,2214.0,259.42,0.0,6810.0,0,0,0,0,1,0,0,0
375,43183.9,9840.0,23172.76,9737.26,8890.0,0,0,0,0,1,0,0,1
376,23969.0,7725.0,11170.95,3000.0,7110.0,0,0,0,0,1,0,0,1
377,5240.2,2214.0,1767.28,781.38,4520.0,0,0,0,0,1,0,0,1
378,15003.5,3567.0,5468.95,0.0,2100.0,0,0,0,0,1,0,0,1
379,1940.0,738.0,454.0,0.0,2100.0,0,0,0,0,1,0,0,1
